"PlayerID","Team","Cap","JumperNo","Name","DOB","Height","Weight","Games","Goals","Seasons","Debut","Last"
1,"AD","66","23","McLeod, Andrew","1976-08-04","181","81","340 (185-0-155)","275 ","1995-2010","18y 274d","33y 346d"
2,"AD","67","9","Edwards, Tyson","1976-08-06","178","81","321 (175-0-146)","192 ","1995-2010","18y 308d","33y 303d"
3,"AD","51","32","Ricciuto, Mark","1975-06-08","184","93","312 (162-1-149)","292 ","1993-2007","17y 326d","32y 92d"
4,"AD","38","34","Hart, Ben","1974-07-09","190","83","311 (166-1-144)","45 ","1992-2006","17y 257d","32y 49d"
5,"AD","16","7","Smart, Nigel","1969-05-21","188","91","278 (140-1-137)","116 ","1991-2004","21y 305d","35y 30d"
6,"AD","77","36","Goodwin, Simon","1976-12-26","185","86","275 (155-0-120)","162 ","1997-2010","20y 94d","33y 202d"
7,"AD","27","26","Bickley, Mark","1969-08-04","178","82","272 (138-0-134)","77 ","1991-2003","21y 252d","34y 39d"
8,"AD","143","5","Thompson, Scott","1983-03-14","184","86","269 (154-0-115)","145 ","2005-2017","22y 20d","34y 115d"
9,"AD","149","26","Douglas, Richard","1987-02-06","181","79","237 (130-1-106)","162 ","2006-2018","19y 202d","31y 200d"
10,"AD","115","11","Doughty, Michael","1979-08-05","177","81","231 (135-0-96)","46 ","2000-2012","20y 255d","33y 48d"
11,"AD","136","25","Rutten, Ben","1983-05-28","190","98","229 (129-0-100)","9 ","2003-2014","20y 53d","31y 95d"
12,"AD","125","18","Johncock, Graham","1982-10-21","178","87","227 (124-0-103)","120 ","2002-2013","19y 161d","30y 175d"
13,"AD","87","8","Bassett, Nathan","1976-12-07","190","87","210 (117-0-93)","25 ","1998-2008","21y 111d","31y 274d"
14,"AD","144","7","van Berlo, Nathan","1986-06-06","184","83","205 (117-0-88)","68 ","2005-2013 2015-2016","18y 308d","29y 357d"
15,"AD","130","3","Reilly, Brent","1983-11-12","183","85","203 (112-0-91)","52 ","2002-2014","18y 243d","30y 292d"
16,"AD","155","14","Mackay, David","1988-07-25","181","77","202 (121-1-80)","57 ","2008-2018","19y 242d","30y 31d"
17,"AD","180","24","Jacobs, Sam","1988-04-10","200","102","179 (103-1-75)","45 ","2011-2018","23y 13d","30y 137d"
18,"AD","98","24","Burton, Brett","1978-05-04","185","83","177 (93-0-84)","264 ","1999-2010","20y 327d","32y 5d"
19,"AD","168","9","Sloane, Rory","1990-03-17","182","83","177 (104-1-72)","111 ","2009-2018","19y 150d","28y 155d"
20,"AD","165","13","Walker, Taylor","1990-04-25","195","100","167 (96-1-70)","383 ","2009-2018","18y 337d","28y 108d"
21,"AD","182","12","Talia, Daniel","1991-10-02","197","98","164 (98-1-65)","6 ","2011-2018","19y 273d","26y 306d"
22,"AD","162","32","Dangerfield, Patrick","1990-04-05","189","92","154 (81-0-73)","163 ","2008-2015","18y 133d","25y 166d"
23,"AD","4","35","Jameson, Rod","1970-06-30","185","87","153 (78-1-74)","113 ","1991-1999","20y 265d","29y 60d"
24,"AD","106","16","McGregor, Ken","1981-01-29","195","97","152 (84-0-68)","114 ","1999-2008","18y 156d","27y 130d"
25,"AD","112","12","Shirley, Robert","1980-06-09","185","85","151 (86-0-65)","28 ","2000-2009","19y 290d","29y 95d"
26,"AD","176","33","Smith, Brodie","1992-01-14","190","86","145 (89-1-55)","47 ","2011-2018","19y 71d","26y 209d"
27,"AD","188","4","Jenkins, Josh","1989-02-08","200","108","136 (80-1-55)","274 ","2012-2018","23y 94d","29y 198d"
28,"AD","190","16","Brown, Luke","1992-09-22","181","81","135 (79-1-55)","12 ","2012-2018","19y 297d","25y 337d"
29,"AD","35","52","Rehn, Shaun","1971-08-17","203","106","134 (72-1-61)","55 ","1991-1998 2000","19y 338d","28y 355d"
30,"AD","113","35","Biglands, Rhett","1977-09-04","200","103","134 (81-0-53)","59 ","2000-2006","22y 217d","29y 19d"
31,"AD","46","15","Pittman, David","1969-02-23","201","103","131 (64-1-66)","34 ","1992-1999","23y 147d","30y 173d"
32,"AD","50","10","Robran, Matthew","1971-03-19","194","98","130 (69-0-61)","110 ","1993 1995-2001","22y 37d","30y 173d"
33,"AD","147","40","Porplyzia, Jason","1984-11-27","177","80","130 (75-0-55)","181 ","2006-2014","21y 153d","29y 226d"
34,"AD","110","17","Welsh, Scott","1978-12-07","188","89","129 (70-0-59)","270 ","2000-2007","21y 95d","28y 275d"
35,"AD","146","17","Vince, Bernie","1985-10-02","186","86","129 (68-0-61)","80 ","2006-2013","20y 183d","27y 333d"
36,"AD","71","3","Jarman, Darren","1967-01-28","186","92","121 (64-0-57)","264 ","1996-2001","29y 63d","34y 223d"
37,"AD","193","29","Laird, Rory","1993-12-29","177","81","121 (74-1-46)","12 ","2013-2018","19y 113d","24y 239d"
38,"AD","138","27","Stevens, Scott","1982-01-15","194","88","119 (66-0-53)","71 ","2004 2006-2011","22y 79d","29y 84d"
39,"AD","41","6","Modra, Tony","1969-03-01","188","95","118 (55-1-62)","440 ","1992-1998","23y 41d","29y 188d"
40,"AD","108","4","Clarke, Matthew","1973-09-18","200","100","118 (61-0-57)","19 ","2000-2006","26y 175d","33y 5d"
41,"AD","12","10","McDermott, Chris","1963-11-04","182","92","117 (56-1-60)","25 ","1991-1996","27y 138d","32y 301d"
42,"AD","184","27","Lynch, Tom","1990-09-15","191","88","117 (73-1-43)","168 ","2012-2018","21y 198d","27y 344d"
43,"AD","30","27","Liptak, Matthew","1970-04-30","178","79","116 (57-1-58)","128 ","1991-1999","21y 17d","29y 121d"
44,"AD","94","22","Perrie, Ian","1979-04-09","194","102","116 (66-0-50)","129 ","1998-2007","19y 72d","28y 125d"
45,"AD","13","11","McGuinness, Tony","1964-05-06","176","76","113 (52-1-60)","79 ","1991-1996","26y 320d","32y 117d"
46,"AD","141","44","Bock, Nathan","1983-03-20","193","93","113 (60-0-53)","57 ","2004-2010","21y 34d","27y 148d"
47,"AD","196","18","Betts, Eddie","1986-11-26","174","74","111 (68-0-43)","273 ","2014-2018","27y 114d","31y 272d"
48,"AD","5","2","Jarman, Andrew","1966-01-14","177","91","110 (51-1-58)","92 ","1991-1996","25y 67d","30y 230d"
49,"AD","19","12","Tregenza, Simon","1971-03-09","182","86","106 (55-1-50)","16 ","1991-1998","20y 13d","27y 137d"
50,"AD","104","20","Stenglein, Tyson","1980-07-16","189","88","106 (56-0-50)","26 ","1999-2004","18y 304d","24y 44d"
51,"AD","160","22","Otten, Andy","1989-05-15","194","92","106 (60-1-45)","38 ","2008-2009 2011-2014 2017-2018","19y 30d","29y 102d"
52,"AD","74","28","Johnson, Kane","1978-03-15","187","85","104 (55-0-49)","44 ","1996-2002","18y 113d","24y 190d"
53,"AD","157","4","Tippett, Kurt","1987-05-08","202","105","104 (53-0-51)","188 ","2008-2012","20y 320d","25y 137d"
54,"AD","89","19","Stevens, Mark","1975-10-25","194","95","101 (54-0-47)","103 ","1998-2005","22y 154d","29y 160d"
55,"AD","129","39","Mattner, Martin","1982-08-06","189","86","98 (60-0-38)","14 ","2002-2007","19y 335d","25y 25d"
56,"AD","64","14","Connell, Matthew","1972-08-03","181","76","96 (40-0-56)","28 ","1995-2000","22y 240d","28y 3d"
57,"AD","75","30","Vardy, Peter","1976-01-26","181","83","96 (48-0-48)","150 ","1996-2001","20y 162d","25y 225d"
58,"AD","145","21","Knights, Chris","1986-09-25","184","84","96 (52-0-44)","68 ","2005-2012","18y 288d","25y 328d"
59,"AD","72","5","Koster, Kym","1973-02-01","182","79","95 (52-0-43)","31 ","1996-2000","23y 59d","27y 187d"
60,"AD","179","11","Wright, Matthew","1989-12-14","178","75","94 (49-0-45)","63 ","2011-2015","21y 123d","25y 230d"
61,"AD","173","45","Henderson, Ricky","1988-09-11","188","91","90 (46-0-44)","43 ","2010-2016","21y 224d","27y 350d"
62,"AD","198","44","Crouch, Matt","1995-04-21","182","80","90 (57-1-32)","19 ","2014-2018","18y 349d","23y 126d"
63,"AD","128","3","Massie, Kris","1980-05-30","189","87","88 (50-0-38)","11 ","2002-2008","21y 332d","28y 99d"
64,"AD","7","13","Lee, Scott","1963-06-05","178","86","86 (43-1-42)","18 ","1991-1995","27y 290d","32y 55d"
65,"AD","69","44","Caven, Peter","1970-05-16","190","85","82 (42-0-40)","34 ","1996-2000","25y 320d","30y 82d"
66,"AD","195","15","Hartigan, Kyle","1991-11-07","194","98","82 (53-0-29)","1 ","2013-2018","21y 262d","26y 247d"
67,"AD","11","18","Maynard, Rodney","1966-09-21","188","80","81 (36-1-44)","24 ","1991-1995","24y 182d","28y 346d"
68,"AD","120","10","Bode, Matthew","1979-06-29","178","76","79 (48-0-31)","71 ","2001-2007","21y 282d","27y 283d"
69,"AD","132","15","Torney, Jason","1977-06-16","187","84","77 (46-0-31)","18 ","2003-2007","25y 287d","30y 84d"
70,"AD","148","20","Maric, Ivan","1986-01-04","200","102","77 (43-0-34)","28 ","2006-2011","20y 122d","25y 222d"
71,"AD","205","21","Atkins, Rory","1994-07-12","186","85","77 (52-1-24)","39 ","2015-2018","21y 7d","24y 44d"
72,"AD","78","11","James, Brett","1972-12-15","176","77","76 (40-0-36)","26 ","1997-2000","24y 105d","27y 235d"
73,"AD","164","23","Petrenko, Jared","1989-12-22","178","82","76 (35-0-41)","50 ","2009-2014","19y 96d","24y 132d"
74,"AD","174","10","Jaensch, Matthew","1989-09-18","180","82","74 (36-0-38)","25 ","2010-2015","20y 225d","25y 240d"
75,"AD","199","23","Cameron, Charlie","1994-07-05","181","75","73 (47-1-25)","87 ","2014-2017","19y 314d","23y 87d"
76,"AD","133","37","Hentschel, Trent","1982-12-25","193","91","71 (43-0-28)","94 ","2003-2006 2009-2010","20y 109d","27y 107d"
77,"AD","31","21","Brown, David","1969-09-29","172","75","69 (31-1-37)","55 ","1991-1996","21y 253d","26y 303d"
78,"AD","34","33","Weidemann, Wayne","1966-10-21","182","93","68 (31-1-36)","26 ","1991-1996","24y 258d","29y 301d"
79,"AD","192","2","Crouch, Brad","1994-01-14","185","87","61 (35-0-26)","21 ","2013-2014 2016-2017","19y 82d","23y 259d"
80,"AD","156","15","Symes, Brad","1985-03-07","186","84","60 (31-0-29)","6 ","2008-2012","23y 16d","27y 143d"
81,"AD","48","1","Anderson, Greg","1966-05-14","188","92","59 (27-1-31)","19 ","1993-1996","26y 318d","30y 75d"
82,"AD","68","18","Bond, Troy","1973-07-14","179","76","58 (29-0-29)","51 ","1996-1999","22y 261d","26y 46d"
83,"AD","203","6","Lever, Jake","1996-03-05","195","92","56 (38-0-18)","3 ","2015-2017","19y 65d","21y 209d"
84,"AD","139","13","Hudson, Ben","1979-02-24","196","105","55 (32-0-23)","6 ","2004-2005 2007","25y 47d","28y 196d"
85,"AD","187","31","Lyons, Jarryd","1992-07-22","184","84","55 (34-0-21)","32 ","2012-2016","19y 282d","24y 57d"
86,"AD","70","13","Ellen, Shane","1973-01-01","188","82","54 (23-0-31)","15 ","1996-2000","23y 90d","27y 91d"
87,"AD","117","40","Ladhams, Chris","1980-10-21","179","78","54 (29-0-25)","37 ","2001-2004","20y 162d","23y 313d"
88,"AD","202","8","Kelly, Jake","1995-01-21","190","89","53 (31-1-21)","1 ","2015 2017-2018","20y 87d","23y 216d"
89,"AD","56","19","Chalmers, Brett","1973-04-23","195","94","50 (20-1-29)","8 ","1994-1997","20y 359d","24y 130d"
90,"AD","32","4","Tasker, Sean","1968-06-18","188","90","48 (20-0-28)","17 ","1991-1996","23y 11d","28y 74d"
91,"AD","95","31","Marsh, Ben","1976-07-09","201","102","48 (25-0-23)","17 ","1998-2003","21y 354d","26y 333d"
92,"AD","206","41","McGovern, Mitch","1994-10-11","190","89","48 (34-1-13)","67 ","2016-2018","21y 167d","23y 318d"
93,"AD","90","29","Thiessen, James","1974-02-10","180","80","44 (21-0-23)","21 ","1998-2000","24y 46d","26y 170d"
94,"AD","109","1","Crowell, Andrew","1977-08-15","189","89","44 (22-0-22)","15 ","2000-2003","22y 209d","25y 283d"
95,"AD","119","14","Skipworth, Hayden","1983-02-25","177","75","44 (25-0-19)","22 ","2001 2003-2006","18y 35d","23y 175d"
96,"AD","201","25","Cheney, Kyle","1989-08-25","187","90","44 (28-0-16)","0 ","2015-2016 2018","25y 223d","28y 359d"
97,"AD","207","30","Milera, Wayne","1997-09-14","184","80","43 (28-1-14)","15 ","2016-2018","18y 194d","20y 345d"
98,"AD","84","21","Ormond-Allen, Trent","1976-06-11","180","82","42 (22-0-20)","2 ","1997-1999","20y 298d","23y 79d"
99,"AD","91","33","Eccles, Andrew","1979-06-01","187","84","41 (22-0-19)","22 ","1998-2001","18y 308d","22y 99d"
100,"AD","150","6","Griffin, Jonathon","1986-01-14","201","104","41 (21-0-20)","7 ","2007-2010","21y 77d","24y 206d"
